City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
53,Stropkov,SK,49.2021,21.6522,35.83,89,12,1.99,few clouds
54,Kaduna,NG,10.5222,7.4383,74.93,12,15,9.55,few clouds
55,Bathsheba,BB,13.2167,-59.5167,84.81,61,75,17.27,broken clouds
56,Longyearbyen,SJ,78.2186,15.6401,15.64,86,75,4.61,light snow
57,Tsumeb,NA,-19.2333,17.7167,69.6,79,100,8.14,light rain
58,Saint Anthony,US,45.0205,-93.218,9.93,52,0,11.5,clear sky
59,Limon,CR,10.0,-83.0333,82.29,74,75,12.66,broken clouds
60,Waldoboro,US,44.0954,-69.3756,26.1,47,99,7.54,overcast clouds
61,Richards Bay,ZA,-28.783,32.0377,76.59,90,59,5.35,broken clouds
62,Oistins,BB,13.0667,-59.5333,84.29,61,75,17.27,broken clouds
63,Ilulissat,GL,69.2167,-51.1,24.82,54,100,19.57,overcast clouds
64,Boa Vista,BR,2.8197,-60.6733,91.38,40,40,16.11,scattered clouds
65,Georgetown,MY,5.4112,100.3354,79.9,91,40,3.44,scattered clouds
66,Beyneu,KZ,45.3167,55.2,31.33,70,100,20.07,overcast clouds
67,Floro,NO,61.5996,5.0328,40.96,93,75,6.91,broken clouds
68,Harper,LR,4.375,-7.7169,78.26,84,66,6.04,broken clouds
69,Villamontes,BO,-21.25,-63.5,81.45,45,84,4.25,broken clouds
70,Timra,SE,62.487,17.3257,31.68,93,9,2.3,clear sky
71,Waddan,LY,29.1614,16.139,55.08,40,0,9.89,clear sky
72,Qaanaaq,GL,77.484,-69.3632,-7.01,86,100,3.96,overcast clouds
73,San Carlos De Bariloche,AR,-41.1456,-71.3082,85.75,13,0,25.32,clear sky
74,Souillac,MU,-20.5167,57.5167,81.36,89,40,8.05,scattered clouds
75,Yerkoy,TR,39.6381,34.4672,31.59,88,100,2.46,overcast clouds
76,Urengoy,RU,65.9667,78.3667,-8.05,97,39,9.82,scattered clouds
77,Sisimiut,GL,66.9395,-53.6735,2.71,94,100,26.31,overcast clouds
78,Port Blair,IN,11.6667,92.75,73.44,78,20,2.3,mist
79,Bachaquero,VE,9.9694,-71.1494,86.23,59,89,6.69,overcast clouds
80,Oranjemund,NA,-28.55,16.4333,66.11,84,0,10.87,clear sky
81,Zhanaozen,KZ,43.3,52.8,29.23,76,6,11.74,clear sky
82,Trinidad,BO,-14.8333,-64.9,84.18,58,75,9.22,light rain
83,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,75.96,96,92,2.51,overcast clouds
84,Los Algarrobos,PA,8.5,-82.4333,88.45,51,20,9.22,few clouds
85,Los Llanos De Aridane,ES,28.6585,-17.9182,61.12,67,20,6.91,few clouds
