City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
349,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
351,Yaguaron,PY,87.75,few clouds,-25.6,-57.3,QUINTA CHOPI
361,Soyo,AO,78.93,overcast clouds,-6.1349,12.3689,Hotel Mpampa
364,Meulaboh,ID,76.28,overcast clouds,4.1363,96.1285,Kost Pria
367,Am Timan,TD,80.85,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
368,Impfondo,CG,77.18,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
388,Kudahuvadhoo,MV,81.16,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
391,Natal,BR,84.85,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
396,Bartica,GY,86.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
398,Bengkulu,ID,75.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
399,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
400,Pedasi,PA,83.46,broken clouds,7.5333,-80.0333,Selina Pedasi
404,Eruwa,NG,82.54,few clouds,7.5333,3.4167,Yinka Hostel
405,Hukuntsi,BW,79.38,broken clouds,-24.0,21.75,Entabeni Hotel
407,Anloga,GH,84.42,light rain,5.7947,0.8973,Pin Drop Hotel
411,Tibati,CM,76.87,broken clouds,6.4667,12.6333,Tibati Hotel
415,Tonantins,BR,75.61,moderate rain,-2.8731,-67.8022,Hotel Rei Davi
418,Salinas,US,84.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
420,Djibo,BF,76.71,clear sky,14.1022,-1.6306,Centre Des Ressources DPENA
421,Asamankese,GH,81.5,light rain,5.8601,-0.6635,Juniel lodge
422,Ode,NG,81.07,clear sky,7.7899,5.7117,OWONIDADDY HOTEL AND SUITES
423,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
428,Salinopolis,BR,78.62,heavy intensity rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
431,Kralendijk,BQ,82.38,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
435,Gouyave,GD,78.26,few clouds,12.1646,-61.7296,Rumboat Retreat
439,The Valley,AI,78.94,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
442,Carahue,CL,77.2,overcast clouds,-38.7,-73.1667,Hospedaje Familiar
444,Chimbote,PE,76.5,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
446,Ilhabela,BR,76.21,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
450,Volta Redonda,BR,79.59,scattered clouds,-22.5231,-44.1042,Hotel Dexter
454,Miranda,CO,82.53,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
455,Samana,DO,84.42,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
457,Mercedes,AR,79.84,clear sky,-34.6515,-59.4307,Posada del Inti Centro
460,Itarema,BR,80.26,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
461,Iguape,BR,77.99,clear sky,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
462,Kapoeta,SS,85.69,broken clouds,4.7717,33.5903,Eastgate Hotel
466,Formosa Do Rio Preto,BR,75.88,heavy intensity rain,-11.0483,-45.1931,Porto Center Hotel
472,Xuddur,SO,76.37,overcast clouds,4.1213,43.8894,Banjanay Hotel
475,Le Port,RE,80.6,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
486,Sokoni,TZ,80.89,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
487,Gewane,ET,81.34,overcast clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
490,Pauini,BR,76.69,moderate rain,-7.7136,-66.9764,Casa do Kiwliks
491,Itaituba,BR,87.96,few clouds,-4.2761,-55.9836,Hotel Campos
494,Santa Fe,AR,87.03,clear sky,-31.6333,-60.7,Conquistador Hotel
495,Hambantota,LK,76.01,overcast clouds,6.1241,81.1185,Bungalow 63
502,Coripata,BO,77.81,overcast clouds,-16.3,-67.6,"Hostal ""GARDEN"""
503,Saint-Pierre,RE,80.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
505,Pointe Michel,DM,83.34,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
509,Monrovia,LR,80.37,broken clouds,6.3005,-10.7969,Sunset Inn
521,Venado Tuerto,AR,79.9,clear sky,-33.7456,-61.9688,Hotel - Miro Park
522,Saint-Joseph,RE,79.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
525,Rio Grande,BR,80.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
528,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
